,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
8424,Digital,OverDrive,AUDIOBOOK,2018,1,7,Caleb's Crossing: A Novel (unabridged) (Unabridged),,Geraldine Brooks,"Fiction, Historical Fiction","Blackstone Audio, Inc.",2011
8425,Digital,OverDrive,EBOOK,2018,1,1,"Echoes: Michelli Family Series, Book 3",,Kristen Heitzmann,"Christian Fiction, Fiction, Romance, Suspense",Baker Publishing Group,2012
8426,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Cat in the Hat and Other Dr. Seuss Favorites (Unabridged),,Dr. Seuss,"Beginning Reader, Juvenile Fiction",Books on Tape,2006
8433,Digital,Freegal,SONG,2018,1,1,Pop Goes The World,,Men Without Hats,,,
8434,Digital,Freegal,SONG,2018,1,1,Summertime Sadness (Dance Remix),,Dance Music Junkies,,,
8436,Digital,OverDrive,EBOOK,2018,1,2,"Among the Barons: Shadow Children Series, Book 4",,Margaret Peterson Haddix,"Juvenile Fiction, Science Fiction, Suspense","Simon & Schuster, Inc.",2015
8438,Digital,OverDrive,EBOOK,2018,1,2,Fairy Dreams (Barbie),,Mary Man-Kong,"Beginning Reader, Juvenile Fiction, Juvenile Literature","Random House, Inc.",2013
8445,Digital,OverDrive,AUDIOBOOK,2018,1,11,"The Lies of Locke Lamora: Gentleman Bastard Series, Book 1 (unabridged) (Unabridged)",,Scott Lynch,"Fantasy, Fiction","Tantor Media, Inc",2014
8446,Digital,OverDrive,EBOOK,2018,1,1,Winning the Loser's Game: Timeless Strategies for Successful Investing,,Charles D. Ellis,"Business, Nonfiction",McGraw-Hill Professional,2009
8449,Digital,OverDrive,EBOOK,2018,1,1,Delivering Doctor Amelia: The Story of a Gifted Young Obstetrician's Error and the Psychologist Who Helped Her,,Dan Shapiro,"Biography & Autobiography, Medical, Nonfiction, Psychology","Random House, Inc.",2010
8450,Digital,OverDrive,AUDIOBOOK,2018,1,1,Trump: How to Get Rich (unabridged) (Unabridged),,Donald J. Trump,"Nonfiction, Self-Improvement",Simon & Schuster - All Library,2008
8451,Digital,Hoopla,TELEVISION,2018,1,1,Pinch Sitter,,,Animation & Cartoons,MTV,
8453,Digital,Freegal,SONG,2018,1,1,Family (Live),,Bjork,,,
8454,Digital,OverDrive,EBOOK,2018,1,2,"There Was an Old Lady Who Swallowed Fly Guy: Fly Guy Series, Book 4",,Tedd Arnold,"Beginning Reader, Humor (Fiction), Juvenile Fiction, Picture Book Fiction","Scholastic, Inc. (US)",2015
8455,Digital,Freegal,SONG,2018,1,1,White Noise: Spring Falls,,Sleep Sounds White Noise,,,
8456,Digital,OverDrive,AUDIOBOOK,2018,1,2,"A Christmas Grace: Christmas Story Series, Book 6 (unabridged) (Unabridged)",,Anne Perry,"Fiction, Historical Fiction, Mystery","Blackstone Audio, Inc.",2008
8458,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Culture Map: Breaking Through the Invisible Boundaries of Global Business (unabridged) (Unabridged),,Erin Meyer,"Business, Nonfiction",Gildan Media Corp,2014
8463,Digital,OverDrive,EBOOK,2018,1,1,"The Frozen Menace: Dragonbreath Series, Book 11",,Ursula Vernon,"Comic and Graphic Books, Humor (Fiction), Juvenile Fiction","Penguin Group (USA), Inc.",2016
8464,Digital,OverDrive,EBOOK,2018,1,4,A Million Little Pieces,,James Frey,"Biography & Autobiography, Nonfiction, Self-Improvement, Sociology","Random House, Inc.",2011
8466,Digital,OverDrive,EBOOK,2018,1,2,Freak Show,,James St. James,"Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
8467,Digital,OverDrive,EBOOK,2018,1,1,So We Read On: How The Great Gatsby Came to Be and Why It Endures,,Maureen Corrigan,"Literary Criticism, Nonfiction","Hachette Digital, Inc.",2014
8468,Digital,Freegal,SONG,2018,1,1,Lonely Avenue,,Ray Charles,,,
8469,Digital,Freegal,SONG,2018,1,1,For You My Love,,Amadeu Casas,,,
8470,Digital,OverDrive,AUDIOBOOK,2018,1,1,Radiant Mind: Awakening Unconditioned Awareness (unabridged) (Unabridged),,Peter Fenner,"Nonfiction, Religion & Spirituality","Sounds True, Inc",2008
8472,Digital,OverDrive,EBOOK,2018,1,1,"Christmas in Absaroka County: Walt Longmire Christmas Stories: Walt Longmire Mystery Series, Book 8.25",,Craig Johnson,"Fiction, Mystery, Short Stories","Penguin Group (USA), Inc.",2014
8475,Digital,OverDrive,EBOOK,2018,1,1,Mistress of Mellyn,,Victoria Holt,"Fiction, Romance",Macmillan Publishers,2013
8479,Digital,OverDrive,EBOOK,2018,1,2,"Renegade: Elite Ops Series, Book 5",,Lora Leigh,"Fiction, Romance, Suspense",Macmillan Publishers,2013
8480,Digital,OverDrive,EBOOK,2018,1,1,CliffsNotes on Heller's Catch-22,,C. A. Peek,"Literary Criticism, Nonfiction, Study Aids & Workbooks","John Wiley & Sons, Inc.",2010
8482,Digital,Hoopla,MUSIC,2018,1,1,Get Carter,,,Soundtrack,Silva Screen Records,
8485,Digital,OverDrive,EBOOK,2018,1,1,How to Be Human: A Novel,,Paula Cocozza,"Fiction, Literature",Macmillan Publishers,2017
8488,Digital,Freegal,SONG,2018,1,1,Raoul and the Kings of Spain,,Tears for Fears,,,
8489,Digital,OverDrive,EBOOK,2018,1,4,"A Taste for Death: Inspector Adam Dalgliesh Series, Book 7",,P. D. James,"Fiction, Mystery, Thriller","Random House, Inc.",2015
8497,Digital,Freegal,SONG,2018,1,1,I Do What I Can (To Get By),,Supersuckers,,,
8500,Digital,Freegal,SONG,2018,1,1,Shreveport Stomp,,Joe Sample,,,
8501,Digital,OverDrive,EBOOK,2018,1,1,"Sanctuary: Dragon Jousters Series, Book 3",,Mercedes Lackey,"Fantasy, Fiction","Penguin Group (USA), Inc.",2009
8502,Digital,OverDrive,EBOOK,2018,1,1,Once Upon a Holiday: Holiday Heat\Candy Christmas\Chocolate Truffles,,Beverly Jenkins,"Fiction, Romance","Harlequin Enterprises, Ltd.",2012
8503,Digital,OverDrive,EBOOK,2018,1,1,Secret Lives of the U.S. Presidents: Strange Stories and Shocking Trivia from Inside the White House,,Cormac O'Brien,"Biography & Autobiography, History, Humor (Nonfiction), Nonfiction","Random House, Inc.",2011
8508,Digital,OverDrive,AUDIOBOOK,2018,1,7,"The Great Halifax Explosion: A World War I Story of Treachery, Tragedy, and Extraordinary Heroism (unabridged) (Unabridged)",,John U. Bacon,"History, Military, Nonfiction",HarperCollins Publishers Inc.,2017
8509,Digital,Hoopla,MOVIE,2018,1,1,Force Majeure,,,World,Magnolia Pictures,
8510,Digital,OverDrive,AUDIOBOOK,2018,1,2,Descendants: The Junior Novel (unabridged) (Unabridged),,Disney Press,"Fantasy, Juvenile Fiction","Blackstone Audio, Inc.",2015
8512,Digital,OverDrive,EBOOK,2018,1,1,Bent Road,,Lori Roy,Fiction,"Penguin Group (USA), Inc.",2011
8513,Digital,OverDrive,EBOOK,2018,1,2,"Far From Home: Belladonna Ink Series, Book 1",,Lorelie Brown,"Fiction, Romance",Riptide Publishing,2017
8521,Digital,OverDrive,AUDIOBOOK,2018,1,6,"""V"" is for Vengeance: Kinsey Millhone Series, Book 22 (unabridged) (Unabridged)",,Sue Grafton,"Fiction, Mystery",Books on Tape,2011
8522,Digital,OverDrive,EBOOK,2018,1,2,Lucky Penny,,Catherine Anderson,"Fiction, Romance","Penguin Group (USA), Inc.",2013
8523,Digital,OverDrive,EBOOK,2018,1,3,Conscious Loving: The Journey to Co-Committment,,Gay Hendricks,"Family & Relationships, Nonfiction, Self-Improvement","Random House, Inc.",2009
8524,Digital,OverDrive,EBOOK,2018,1,1,The Panic Zone,,Rick Mofina,"Fiction, Thriller, Thriller","Harlequin Enterprises, Ltd.",2011
8525,Digital,OverDrive,EBOOK,2018,1,1,Broken Circle,,John Shirley,"Fiction, Science Fiction","Simon & Schuster, Inc.",2016
8528,Digital,OverDrive,EBOOK,2018,1,1,"Children of Scarabaeus: Scarabaeus Series, Book 2",,Sara Creasy,"Fiction, Science Fiction",HarperCollins Publishers Inc.,2011
8531,Digital,Freegal,SONG,2018,1,9,Hallelujah,,Pentatonix,,,
8534,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Silent Fountain (Unabridged),,Victoria Fox,"Fiction, Literature, Romance",HarperCollins Publishers Inc.,2017
8538,Digital,OverDrive,EBOOK,2018,1,1,Mademoiselle: Coco Chanel and the Pulse of History,,Rhonda K. Garelick,"Art, Biography & Autobiography, History, Nonfiction","Random House, Inc.",2014
8539,Digital,Freegal,SONG,2018,1,1,The Love Goes,,Trent Dabbs,,,
8541,Digital,OverDrive,EBOOK,2018,1,1,POP: How Graphic Design Shapes Popular Culture,,Steven Heller,"Art, Nonfiction",Lightning Source Inc,2011
8549,Digital,OverDrive,EBOOK,2018,1,1,"Golden Surrender: MacAuliffe Vikings Trilogy, Book 1",,Heather Graham,"Fiction, Historical Fiction, Romance","Random House, Inc.",2012
8551,Digital,Freegal,SONG,2018,1,1,Storm of the Antichrist,,Watain,,,
8553,Digital,OverDrive,EBOOK,2018,1,4,"Only Time Will Tell: Clifton Chronicles, Book 1",,Jeffrey Archer,"Fiction, Historical Fiction",Macmillan Publishers,2013
8555,Digital,Freegal,SONG,2018,1,1,Ye Rambling Boys Of Pleasure,,The Chieftains;Loreena McKennitt,,,
8557,Digital,OverDrive,EBOOK,2018,1,1,The Color Master: Stories,,Aimee Bender,"Fiction, Literature, Short Stories","Random House, Inc.",2013
8559,Digital,OverDrive,EBOOK,2018,1,1,"Wicked Games: Wicked Games Series, Book 1",,Sean Olin,"Thriller, Young Adult Fiction",HarperCollins Publishers Inc.,2014
8562,Digital,OverDrive,EBOOK,2018,1,1,Lifetime,,Christopher Silas Neal,"Juvenile Nonfiction, Nature",Chronicle Books,2013
8564,Digital,OverDrive,EBOOK,2018,1,1,"Shadow Puppets: Ender Wiggin: Shadow Saga, Book 3",,Orson Scott Card,"Fiction, Science Fiction",Macmillan Publishers,2013
8565,Digital,OverDrive,EBOOK,2018,1,1,The Four Foundations of Mindfulness in Plain English,,Henepola Gunaratana,"Nonfiction, Self-Improvement","Simon & Schuster, Inc.",2012
8566,Digital,OverDrive,EBOOK,2018,1,1,"Click, Clack, Moo I Love You!",,Doreen Cronin,"Juvenile Fiction, Picture Book Fiction","Simon & Schuster, Inc.",2017
8570,Digital,Freegal,SONG,2018,1,1,Vaseline Machine Gun,,Leo Kottke,,,
